#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_Plik_lite   ,          ,    1801.0 ,           ,     361.3000 ,      10.1000 ,      10.1000 ,             
Planck_Plik_lite   ,          ,    1818.0 ,           ,     341.6000 ,      10.2000 ,      10.2000 ,             
Planck_Plik_lite   ,          ,    1835.0 ,           ,     314.1000 ,      10.4000 ,      10.4000 ,             
Planck_Plik_lite   ,          ,    1852.0 ,           ,     305.8000 ,      10.5000 ,      10.5000 ,             
Planck_Plik_lite   ,          ,    1869.0 ,           ,     275.4000 ,      10.6000 ,      10.6000 ,             
Planck_Plik_lite   ,          ,    1886.0 ,           ,     267.6000 ,      10.8000 ,      10.8000 ,             
Planck_Plik_lite   ,          ,    1903.0 ,           ,     247.6000 ,      10.9000 ,      10.9000 ,             
Planck_Plik_lite   ,          ,    1920.0 ,           ,     255.3000 ,      11.2000 ,      11.2000 ,             
Planck_Plik_lite   ,          ,    1937.0 ,           ,     243.5000 ,      11.4000 ,      11.4000 ,             
Planck_Plik_lite   ,          ,    1954.0 ,           ,     233.2000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1971.0 ,           ,     230.0000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    1988.0 ,           ,     225.3000 ,      12.1000 ,      12.1000 ,             
Planck_Plik_lite   ,          ,    2005.0 ,           ,     241.7000 ,      12.6000 ,      12.6000 ,             
Planck_Plik_lite   ,          ,    2030.0 ,           ,     233.4000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    2063.0 ,           ,     216.4000 ,      12.2000 ,      12.2000 ,             
Planck_Plik_lite   ,          ,    2096.0 ,           ,     206.4000 ,      12.7000 ,      12.7000 ,             
Planck_Plik_lite   ,          ,    2129.0 ,           ,     198.4000 ,      13.2000 ,      13.2000 ,             
Planck_Plik_lite   ,          ,    2162.0 ,           ,     169.4000 ,      13.7000 ,      13.7000 ,             
Planck_Plik_lite   ,          ,    2195.0 ,           ,     141.2000 ,      14.2000 ,      14.2000 ,             
Planck_Plik_lite   ,          ,    2228.0 ,           ,     132.3000 ,      14.8000 ,      14.8000 ,             
Planck_Plik_lite   ,          ,    2261.0 ,           ,     117.8000 ,      15.4000 ,      15.4000 ,             
Planck_Plik_lite   ,          ,    2294.0 ,           ,     117.3000 ,      16.1000 ,      16.1000 ,             
Planck_Plik_lite   ,          ,    2327.0 ,           ,     110.5000 ,      16.9000 ,      16.9000 ,             
Planck_Plik_lite   ,          ,    2360.0 ,           ,     114.9000 ,      17.7000 ,      17.7000 ,             
Planck_Plik_lite   ,          ,    2393.0 ,           ,     122.5000 ,      18.7000 ,      18.7000 ,             
Planck_Plik_lite   ,          ,    2426.0 ,           ,      83.8000 ,      19.6000 ,      19.6000 ,             
Planck_Plik_lite   ,          ,    2459.0 ,           ,      84.1000 ,      20.7000 ,      20.7000 ,             
Planck_Plik_lite   ,          ,    2492.0 ,           ,      75.9000 ,      21.8000 ,      21.8000 ,             
SPT                ,          ,     675.0 ,           ,    1781.7000 ,      75.8000 ,      75.8000 ,             
SPT                ,          ,     725.0 ,           ,    1935.0000 ,      83.8000 ,      83.8000 ,             
SPT                ,          ,     775.0 ,           ,    2421.3000 ,      92.7000 ,      92.7000 ,             
SPT                ,          ,     825.0 ,           ,    2571.6001 ,      95.8000 ,      95.8000 ,             
SPT                ,          ,     875.0 ,           ,    2156.8999 ,      78.2000 ,      78.2000 ,             
SPT                ,          ,     925.0 ,           ,    1582.4000 ,      56.9000 ,      56.9000 ,             
SPT                ,          ,     975.0 ,           ,    1137.7000 ,      42.2000 ,      42.2000 ,             
SPT                ,          ,    1025.0 ,           ,    1060.9000 ,      39.1000 ,      39.1000 ,             
SPT                ,          ,    1075.0 ,           ,    1208.3000 ,      42.8000 ,      42.8000 ,             
SPT                ,          ,    1125.0 ,           ,    1186.1000 ,      43.1000 ,      43.1000 ,             
SPT                ,          ,    1175.0 ,           ,    1132.9000 ,      42.5000 ,      42.5000 ,             
SPT                ,          ,    1225.0 ,           ,     916.0000 ,      33.8000 ,      33.8000 ,             
SPT                ,          ,    1275.0 ,           ,     762.6000 ,      27.3000 ,      27.3000 ,             
SPT                ,          ,    1325.0 ,           ,     713.6000 ,      26.3000 ,      26.3000 ,             
SPT                ,          ,    1375.0 ,           ,     744.8000 ,      26.3000 ,      26.3000 ,             
SPT                ,          ,    1425.0 ,           ,     837.1000 ,      28.6000 ,      28.6000 ,             
SPT                ,          ,    1475.0 ,           ,     708.0000 ,      24.0000 ,      24.0000 ,             
SPT                ,          ,    1525.0 ,           ,     613.9000 ,      20.6000 ,      20.6000 ,             
SPT                ,          ,    1575.0 ,           ,     456.6000 ,      16.5000 ,      16.5000 ,             
SPT                ,          ,    1625.0 ,           ,     383.7000 ,      13.6000 ,      13.6000 ,             
SPT                ,          ,    1675.0 ,           ,     378.4000 ,      13.1000 ,      13.1000 ,             
SPT                ,          ,    1725.0 ,           ,     383.8000 ,      13.2000 ,      13.2000 ,             
SPT                ,          ,    1775.0 ,           ,     377.5000 ,      13.1000 ,      13.1000 ,             
SPT                ,          ,    1825.0 ,           ,     323.1000 ,      11.6000 ,      11.6000 ,             
SPT                ,          ,    1875.0 ,           ,     262.0000 ,       9.7000 ,       9.7000 ,             
SPT                ,          ,    1925.0 ,           ,     223.7000 ,       8.5000 ,       8.5000 ,             
SPT                ,          ,    1975.0 ,           ,     227.7000 ,       8.8000 ,       8.8000 ,             
SPT                ,          ,    2025.0 ,           ,     230.3000 ,       9.0000 ,       9.0000 ,             
SPT                ,          ,    2075.0 ,           ,     214.0000 ,       8.5000 ,       8.5000 ,             
SPT                ,          ,    2125.0 ,           ,     177.8000 ,       7.4000 ,       7.4000 ,             
SPT                ,          ,    2175.0 ,           ,     153.6000 ,       6.6000 ,       6.6000 ,             
SPT                ,          ,    2225.0 ,           ,     123.2000 ,       5.7000 ,       5.7000 ,             
SPT                ,          ,    2275.0 ,           ,     117.1000 ,       5.6000 ,       5.6000 ,             
SPT                ,          ,    2325.0 ,           ,     109.9000 ,       5.4000 ,       5.4000 ,             
SPT                ,          ,    2375.0 ,           ,     106.0000 ,       5.5000 ,       5.5000 ,             
SPT                ,          ,    2425.0 ,           ,      96.5000 ,       5.1000 ,       5.1000 ,             
SPT                ,          ,    2475.0 ,           ,      80.9000 ,       4.9000 ,       4.9000 ,             
SPT                ,          ,    2525.0 ,           ,      76.3000 ,       4.9000 ,       4.9000 ,             
SPT                ,          ,    2575.0 ,           ,      62.4000 ,       4.5000 ,       4.5000 ,             
SPT                ,          ,    2625.0 ,           ,      64.3000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2675.0 ,           ,      61.9000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2725.0 ,           ,      53.8000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2775.0 ,           ,      48.6000 ,       4.6000 ,       4.6000 ,             
SPT                ,          ,    2825.0 ,           ,      39.2000 ,       4.4000 ,       4.4000 ,             
SPT                ,          ,    2875.0 ,           ,      33.4000 ,       4.4000 ,       4.4000 ,             
SPT                ,          ,    2925.0 ,           ,      32.8000 ,       4.5000 ,       4.5000 ,             
SPT                ,          ,    2975.0 ,           ,      31.1000 ,       4.6000 ,       4.6000 ,             
