#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018        ,          ,       8.0 ,           ,       0.6800 ,       1.1900 ,       1.1900 ,             
Planck_2018        ,          ,       9.0 ,           ,       2.3200 ,       1.3100 ,       1.3100 ,             
Planck_2018        ,          ,      10.0 ,           ,      -0.0200 ,       1.1000 ,       1.1000 ,             
Planck_2018        ,          ,      11.0 ,           ,       1.1800 ,       1.0100 ,       1.0100 ,             
Planck_2018        ,          ,      12.0 ,           ,       1.4800 ,       1.0800 ,       1.0800 ,             
Planck_2018        ,          ,      13.0 ,           ,       0.6300 ,       1.0900 ,       1.0900 ,             
Planck_2018        ,          ,      14.0 ,           ,       0.6000 ,       1.1200 ,       1.1200 ,             
Planck_2018        ,          ,      15.0 ,           ,       0.8800 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      16.0 ,           ,       0.6500 ,       1.1600 ,       1.1600 ,             
Planck_2018        ,          ,      17.0 ,           ,       2.0000 ,       1.1100 ,       1.1100 ,             
Planck_2018        ,          ,      18.0 ,           ,      -1.4900 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      19.0 ,           ,      -2.1300 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      20.0 ,           ,       1.3400 ,       1.2200 ,       1.2200 ,             
Planck_2018        ,          ,      21.0 ,           ,       1.1300 ,       1.3400 ,       1.3400 ,             
Planck_2018        ,          ,      22.0 ,           ,       0.1900 ,       1.3300 ,       1.3300 ,             
Planck_2018        ,          ,      23.0 ,           ,       1.8600 ,       1.4100 ,       1.4100 ,             
Planck_2018        ,          ,      24.0 ,           ,       0.4300 ,       1.3700 ,       1.3700 ,             
Planck_2018        ,          ,      25.0 ,           ,       3.4500 ,       1.4400 ,       1.4400 ,             
Planck_2018        ,          ,      26.0 ,           ,       3.5800 ,       1.4700 ,       1.4700 ,             
Planck_2018        ,          ,      27.0 ,           ,       1.6200 ,       1.5600 ,       1.5600 ,             
Planck_2018        ,          ,      28.0 ,           ,       4.1600 ,       1.6000 ,       1.6000 ,             
Planck_2018        ,          ,      29.0 ,           ,       1.9000 ,       1.6300 ,       1.6300 ,             
Planck_2018        ,          ,      47.7 ,           ,       0.7400 ,       0.6600 ,       0.6600 ,             
Planck_2018        ,          ,      76.5 ,           ,      -7.7700 ,       0.8400 ,       0.8400 ,             
Planck_2018        ,          ,     105.9 ,           ,     -27.4000 ,       1.1600 ,       1.1600 ,             
Planck_2018        ,          ,     135.6 ,           ,     -41.7300 ,       1.4200 ,       1.4200 ,             
Planck_2018        ,          ,     165.4 ,           ,     -46.6800 ,       1.4900 ,       1.4900 ,             
Planck_2018        ,          ,     195.3 ,           ,     -19.4600 ,       1.4600 ,       1.4600 ,             
Planck_2018        ,          ,     225.2 ,           ,      21.7400 ,       1.6000 ,       1.6000 ,             
Planck_2018        ,          ,     255.1 ,           ,      68.2600 ,       1.9800 ,       1.9800 ,             
Planck_2018        ,          ,     285.0 ,           ,     107.7300 ,       2.3500 ,       2.3500 ,             
Planck_2018        ,          ,     315.0 ,           ,     119.3800 ,       2.4900 ,       2.4900 ,             
Planck_2018        ,          ,     344.9 ,           ,      92.9400 ,       2.3600 ,       2.3600 ,             
Planck_2018        ,          ,     374.9 ,           ,      47.1500 ,       2.0900 ,       2.0900 ,             
Planck_2018        ,          ,     404.9 ,           ,      -8.1600 ,       1.9100 ,       1.9100 ,             
Planck_2018        ,          ,     434.8 ,           ,     -55.0700 ,       1.8800 ,       1.8800 ,             
Planck_2018        ,          ,     464.8 ,           ,     -76.2100 ,       1.8700 ,       1.8700 ,             
Planck_2018        ,          ,     494.8 ,           ,     -64.1700 ,       1.7900 ,       1.7900 ,             
Planck_2018        ,          ,     524.8 ,           ,     -31.2100 ,       1.6700 ,       1.6700 ,             
Planck_2018        ,          ,     554.8 ,           ,       4.6100 ,       1.7700 ,       1.7700 ,             
Planck_2018        ,          ,     584.8 ,           ,      25.4300 ,       1.9400 ,       1.9400 ,             
Planck_2018        ,          ,     614.7 ,           ,      24.0200 ,       2.0700 ,       2.0700 ,             
Planck_2018        ,          ,     644.7 ,           ,      -5.0800 ,       2.1500 ,       2.1500 ,             
Planck_2018        ,          ,     674.7 ,           ,     -58.9300 ,       2.2300 ,       2.2300 ,             
Planck_2018        ,          ,     704.7 ,           ,     -99.2000 ,       2.3300 ,       2.3300 ,             
Planck_2018        ,          ,     734.7 ,           ,    -127.3700 ,       2.4100 ,       2.4100 ,             
Planck_2018        ,          ,     764.7 ,           ,    -122.2000 ,       2.4000 ,       2.4000 ,             
Planck_2018        ,          ,     794.7 ,           ,     -93.5300 ,       2.3300 ,       2.3300 ,             
Planck_2018        ,          ,     824.7 ,           ,     -46.2400 ,       2.2700 ,       2.2700 ,             
Planck_2018        ,          ,     854.7 ,           ,       6.1500 ,       2.2800 ,       2.2800 ,             
Planck_2018        ,          ,     884.7 ,           ,      44.6000 ,       2.3100 ,       2.3100 ,             
Planck_2018        ,          ,     914.7 ,           ,      60.6400 ,       2.3000 ,       2.3000 ,             
Planck_2018        ,          ,     944.7 ,           ,      46.3000 ,       2.2200 ,       2.2200 ,             
Planck_2018        ,          ,     974.7 ,           ,      14.0200 ,       2.1300 ,       2.1300 ,             
Planck_2018        ,          ,    1004.6 ,           ,     -33.8400 ,       2.2100 ,       2.2100 ,             
Planck_2018        ,          ,    1034.6 ,           ,     -57.6400 ,       2.2900 ,       2.2900 ,             
Planck_2018        ,          ,    1064.6 ,           ,     -79.2400 ,       2.3600 ,       2.3600 ,             
Planck_2018        ,          ,    1094.6 ,           ,     -69.8100 ,       2.4200 ,       2.4200 ,             
Planck_2018        ,          ,    1124.6 ,           ,     -48.4700 ,       2.4700 ,       2.4700 ,             
Planck_2018        ,          ,    1154.6 ,           ,     -22.8100 ,       2.5000 ,       2.5000 ,             
Planck_2018        ,          ,    1184.6 ,           ,      -5.9600 ,       2.5100 ,       2.5100 ,             
Planck_2018        ,          ,    1214.6 ,           ,       3.7000 ,       2.4900 ,       2.4900 ,             
Planck_2018        ,          ,    1244.6 ,           ,       0.4500 ,       2.4600 ,       2.4600 ,             
Planck_2018        ,          ,    1274.6 ,           ,     -13.9500 ,       2.4600 ,       2.4600 ,             
Planck_2018        ,          ,    1304.6 ,           ,     -37.8200 ,       2.5000 ,       2.5000 ,             
Planck_2018        ,          ,    1334.6 ,           ,     -51.5900 ,       2.6100 ,       2.6100 ,             
Planck_2018        ,          ,    1364.6 ,           ,     -62.9600 ,       2.7500 ,       2.7500 ,             
Planck_2018        ,          ,    1394.6 ,           ,     -57.2600 ,       2.8900 ,       2.8900 ,             
Planck_2018        ,          ,    1424.6 ,           ,     -44.2500 ,       3.0100 ,       3.0100 ,             
Planck_2018        ,          ,    1454.6 ,           ,     -27.8400 ,       3.1000 ,       3.1000 ,             
Planck_2018        ,          ,    1484.6 ,           ,      -2.8700 ,       3.1500 ,       3.1500 ,             
Planck_2018        ,          ,    1514.6 ,           ,       6.3300 ,       3.1600 ,       3.1600 ,             
Planck_2018        ,          ,    1544.6 ,           ,       8.7100 ,       3.1700 ,       3.1700 ,             
Planck_2018        ,          ,    1574.6 ,           ,      -3.7100 ,       3.1900 ,       3.1900 ,             
Planck_2018        ,          ,    1604.6 ,           ,      -8.3600 ,       3.2600 ,       3.2600 ,             
Planck_2018        ,          ,    1634.6 ,           ,     -24.4000 ,       3.3900 ,       3.3900 ,             
Planck_2018        ,          ,    1664.6 ,           ,     -22.4500 ,       3.5800 ,       3.5800 ,             
Planck_2018        ,          ,    1694.6 ,           ,     -28.8000 ,       3.8100 ,       3.8100 ,             
Planck_2018        ,          ,    1724.6 ,           ,     -27.8300 ,       4.0500 ,       4.0500 ,             
Planck_2018        ,          ,    1754.6 ,           ,     -13.3200 ,       4.2900 ,       4.2900 ,             
Planck_2018        ,          ,    1784.6 ,           ,     -15.8500 ,       4.5300 ,       4.5300 ,             
Planck_2018        ,          ,    1814.6 ,           ,      -3.1500 ,       4.7600 ,       4.7600 ,             
Planck_2018        ,          ,    1844.6 ,           ,      -4.3500 ,       5.0000 ,       5.0000 ,             
Planck_2018        ,          ,    1874.6 ,           ,       0.3900 ,       5.2700 ,       5.2700 ,             
Planck_2018        ,          ,    1904.6 ,           ,      -8.0600 ,       5.5900 ,       5.5900 ,             
Planck_2018        ,          ,    1934.6 ,           ,      -9.1500 ,       5.9700 ,       5.9700 ,             
Planck_2018        ,          ,    1964.6 ,           ,     -20.6400 ,       6.4100 ,       6.4100 ,             
Planck_2018        ,          ,    1988.0 ,           ,     -27.7900 ,       9.1200 ,       9.1200 ,             
SPTpol_2017        ,          ,      76.0 ,           ,      -7.0000 ,       5.5000 ,       5.5000 ,             
SPTpol_2017        ,          ,     124.7 ,           ,     -53.6000 ,       7.5000 ,       7.5000 ,             
SPTpol_2017        ,          ,     174.7 ,           ,     -36.7000 ,       6.6000 ,       6.6000 ,             
SPTpol_2017        ,          ,     224.6 ,           ,      24.9000 ,       6.5000 ,       6.5000 ,             
SPTpol_2017        ,          ,     274.6 ,           ,      92.0000 ,      12.1000 ,      12.1000 ,             
SPTpol_2017        ,          ,     324.5 ,           ,     142.4000 ,      14.0000 ,      14.0000 ,             
SPTpol_2017        ,          ,     374.5 ,           ,      38.2000 ,      11.5000 ,      11.5000 ,             
SPTpol_2017        ,          ,     424.5 ,           ,     -33.5000 ,      10.3000 ,      10.3000 ,             
SPTpol_2017        ,          ,     474.5 ,           ,     -61.4000 ,       8.7000 ,       8.7000 ,             
SPTpol_2017        ,          ,     524.5 ,           ,     -33.6000 ,       6.2000 ,       6.2000 ,             
SPTpol_2017        ,          ,     574.5 ,           ,      10.9000 ,       7.9000 ,       7.9000 ,             
SPTpol_2017        ,          ,     624.5 ,           ,      10.2000 ,       9.9000 ,       9.9000 ,             
SPTpol_2017        ,          ,     674.5 ,           ,     -62.0000 ,      11.3000 ,      11.3000 ,             
SPTpol_2017        ,          ,     724.5 ,           ,    -122.4000 ,      10.6000 ,      10.6000 ,             
SPTpol_2017        ,          ,     774.5 ,           ,    -124.8000 ,       9.6000 ,       9.6000 ,             
SPTpol_2017        ,          ,     824.5 ,           ,     -48.1000 ,       7.8000 ,       7.8000 ,             
SPTpol_2017        ,          ,     874.5 ,           ,      31.6000 ,       7.4000 ,       7.4000 ,             
SPTpol_2017        ,          ,     924.5 ,           ,      45.2000 ,       8.1000 ,       8.1000 ,             
SPTpol_2017        ,          ,     974.5 ,           ,      12.0000 ,       7.9000 ,       7.9000 ,             
